Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,SystemUtils.java,Frostwire,Snap_10,org.limewire.util,,SystemUtils,21,1,0,0,3,0,0,0,0,0,2,0,4,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\src\org\limewire\util\SystemUtils.java
2,WinRegistryWrapper.java,Frostwire,Snap_10,com.frostwire.util.filetypes,,WinRegistryWrapper,13,1,0,1,0,0,0,0,0,0,2,0,4,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\src\com\frostwire\util\filetypes\WinRegistryWrapper.java
3,MPlayerComponentFactory.java,Frostwire,Snap_10,com.frostwire.gui.mplayer,,MPlayerComponentFactory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\src\com\frostwire\gui\mplayer\MPlayerComponentFactory.java
4,MacOSXUtils.java,Frostwire,Snap_10,com.limegroup.gnutella.util,,MacOSXUtils,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\src\com\limegroup\gnutella\util\MacOSXUtils.java
5,GURLHandler.java,Frostwire,Snap_10,com.limegroup.gnutella.gui,,GURLHandler,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\src\com\limegroup\gnutella\gui\GURLHandler.java
6,LibDispatchNative.java,Frostwire,Snap_10,com.apple.concurrent,,LibDispatchNative,0,1,0,7,0,0,0,0,0,0,1,0,2,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\src\com\apple\concurrent\LibDispatchNative.java
7,MPlayerComponentOSX2.java,Frostwire,Snap_10,com.frostwire.gui.mplayer,,MPlayerComponentOSX2,0,0,0,2,0,7,0,0,0,0,1,0,2,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\src\com\frostwire\gui\mplayer\MPlayerComponentOSX2.java
8,GURLjnilib.c,Frostwire,Snap_10,,,,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\lib\native-src\osx\GURLjnilib.c
9,SystemUtilities.cpp,Frostwire,Snap_10,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\desktop\lib\native-src\windows\SystemUtils\SystemUtilities.cpp
10,SearchActivity.java,Frostwire,Snap_10,com.andrew.apollo.ui.activities,,SearchActivity,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/frostwire_snapshots/frostwire_10\android\apollo\src\com\andrew\apollo\ui\activities\SearchActivity.java
