Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,idl2jni_runtime.cpp,OpenDDS,Snap_ 39,nan,,nan,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\idl2jni\runtime\idl2jni_runtime.cpp
2,i2jrt_ORB.cpp,OpenDDS,Snap_ 39,nan,,nan,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\idl2jni\runtime\i2jrt_ORB.cpp
3,OpenDDS_jni_helpers.h,OpenDDS,Snap_ 39,nan,,nan,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\dds\OpenDDS_jni_helpers.h
4,OpenDDS_DCPS_jni.cpp,OpenDDS,Snap_ 39,nan,,nan,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\dds\OpenDDS_DCPS_jni.cpp
5,i2jrt_TAOObject.cpp,OpenDDS,Snap_ 39,nan,,nan,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\idl2jni\runtime\i2jrt_TAOObject.cpp
6,org_opendds_jms_DCPSInfoRepo.cpp,OpenDDS,Snap_ 39,nan,,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\jms\native\org_opendds_jms_DCPSInfoRepo.cpp
7,TransportInst.java,OpenDDS,Snap_ 39,OpenDDS.DCPS.transport,,TransportInst,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\dds\OpenDDS\DCPS\transport\TransportInst.java
8,RtpsUdpInst.java,OpenDDS,Snap_ 39,OpenDDS.DCPS.transport,,RtpsUdpInst,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\dds\OpenDDS\DCPS\transport\RtpsUdpInst.java
9,TcpInst.java,OpenDDS,Snap_ 39,OpenDDS.DCPS.transport,,TcpInst,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\dds\OpenDDS\DCPS\transport\TcpInst.java
10,DCPSInfoRepo.java,OpenDDS,Snap_ 39,org.opendds.jms,,DCPSInfoRepo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\jms\native\org\opendds\jms\DCPSInfoRepo.java
11,TheParticipantFactory.java,OpenDDS,Snap_ 39,OpenDDS.DCPS,,TheParticipantFactory,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_39\java\dds\OpenDDS\DCPS\TheParticipantFactory.java
